title,authors,average_rating,categories,published_year,ratings_count,weighted_rating,context_string
Gilead,Marilynne Robinson,3.85,Fiction,2004.0,361.0,3.907714845898438,Title: Gilead. Author(s): Marilynne Robinson. Category: Fiction. Published: 2004. 
Spider's Web,Charles Osborne;Agatha Christie,3.83,Detective and mystery stories,2000.0,5164.0,3.8963866572071377,Title: Spider's Web. Author(s): Charles Osborne;Agatha Christie. Category: Detective and mystery stories. Published: 2000. 
The One Tree,Stephen R. Donaldson,3.97,American fiction,1982.0,172.0,3.908818103970534,Title: The One Tree. Author(s): Stephen R. Donaldson. Category: American fiction. Published: 1982. 
Rage of angels,Sidney Sheldon,3.93,Fiction,1993.0,29532.0,3.919430065365419,Title: Rage of angels. Author(s): Sidney Sheldon. Category: Fiction. Published: 1993. 
The Four Loves,Clive Staples Lewis,4.15,Christian life,2002.0,33684.0,4.039453868786634,Title: The Four Loves. Author(s): Clive Staples Lewis. Category: Christian life. Published: 2002. 
The Problem of Pain,Clive Staples Lewis,4.09,Christian life,2002.0,37569.0,4.011804195790409,Title: The Problem of Pain. Author(s): Clive Staples Lewis. Category: Christian life. Published: 2002. 
An Autobiography,Agatha Christie,4.27,"Authors, English",1977.0,3975.0,3.9528071512876872,"Title: An Autobiography. Author(s): Agatha Christie. Category: Authors, English. Published: 1977. "
Empires of the Monsoon,Richard Hall,4.41,"Africa, East",1998.0,65.0,3.909592227372509,"Title: Empires of the Monsoon. Author(s): Richard Hall. Category: Africa, East. Published: 1998. "
The Gap Into Madness,Stephen R. Donaldson,4.15,"Hyland, Morn (Fictitious character)",1994.0,103.0,3.909320040743977,"Title: The Gap Into Madness. Author(s): Stephen R. Donaldson. Category: Hyland, Morn (Fictitious character). Published: 1994. "
Master of the Game,Sidney Sheldon,4.11,Adventure stories,1982.0,43540.0,4.030392910983625,Title: Master of the Game. Author(s): Sidney Sheldon. Category: Adventure stories. Published: 1982. 
If Tomorrow Comes,Sidney Sheldon,4.04,Adventure stories,1994.0,49170.0,3.991810865489578,Title: If Tomorrow Comes. Author(s): Sidney Sheldon. Category: Adventure stories. Published: 1994. 
Assassin's Apprentice,Robin Hobb,4.15,American fiction,1996.0,133972.0,4.107722122734259,Title: Assassin's Apprentice. Author(s): Robin Hobb. Category: American fiction. Published: 1996. 
Warhost of Vastmark,Janny Wurts,4.03,Fiction,1995.0,2966.0,3.9199333918545434,Title: Warhost of Vastmark. Author(s): Janny Wurts. Category: Fiction. Published: 1995. 
The Once and Future King,Terence Hanbury White,4.04,Arthurian romances,1996.0,2805.0,3.9202641573144636,Title: The Once and Future King. Author(s): Terence Hanbury White. Category: Arthurian romances. Published: 1996. 
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,3.7,Adventure stories,2003.0,5083.0,3.876825836564925,Title: Murder in LaMut. Author(s): Raymond E. Feist;Joel Rosenberg. Category: Adventure stories. Published: 2003. 
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,3.95,Fantasy fiction,2003.0,5579.0,3.9152656050831416,Title: Jimmy the Hand. Author(s): Raymond E. Feist;S. M. Stirling. Category: Fantasy fiction. Published: 2003. 
Well of Darkness,Margaret Weis;Tracy Hickman,3.66,Uncategorized,2001.0,68.0,3.907854903945717,Title: Well of Darkness. Author(s): Margaret Weis;Tracy Hickman. Category: Uncategorized. Published: 2001. 
Witness for the Prosecution & Selected Plays,Agatha Christie,4.05,English drama,1995.0,3908.0,3.9255577305739617,Title: Witness for the Prosecution & Selected Plays. Author(s): Agatha Christie. Category: English drama. Published: 1995. 
The Little House,Philippa Gregory,3.66,Country life,1998.0,1832.0,3.893404060441409,Title: The Little House. Author(s): Philippa Gregory. Category: Country life. Published: 1998. 
Mystical Paths,Susan Howatch,4.23,English fiction,1996.0,1023.0,3.919618941883524,Title: Mystical Paths. Author(s): Susan Howatch. Category: English fiction. Published: 1996. 
Glittering Images,Susan Howatch,4.07,English fiction,1996.0,2045.0,3.9192910428601104,Title: Glittering Images. Author(s): Susan Howatch. Category: English fiction. Published: 1996. 
Glamorous Powers,Susan Howatch,4.2,Clergy,1996.0,1441.0,3.922515677873287,Title: Glamorous Powers. Author(s): Susan Howatch. Category: Clergy. Published: 1996. 
The Mad Ship,Robin Hobb,4.24,Fantasy fiction,2000.0,36101.0,4.093949222469004,Title: The Mad Ship. Author(s): Robin Hobb. Category: Fantasy fiction. Published: 2000. 
Post Captain,Patrick O'Brian,4.29,"Aubrey, Jack (Fictitious character)",1996.0,7815.0,3.9907315778367423,"Title: Post Captain. Author(s): Patrick O'Brian. Category: Aubrey, Jack (Fictitious character). Published: 1996. "
The Reverse of the Medal,Patrick O'Brian,4.41,Adventure stories,1997.0,177.0,3.911551838795226,Title: The Reverse of the Medal. Author(s): Patrick O'Brian. Category: Adventure stories. Published: 1997. 
Miss Marple,Agatha Christie,4.2,"Detective and mystery stories, English",1997.0,6235.0,3.960897710519788,"Title: Miss Marple. Author(s): Agatha Christie. Category: Detective and mystery stories, English. Published: 1997. "
The Years of Rice and Salt,Kim Stanley Robinson,3.73,Black Death,2003.0,194.0,3.907238156166493,Title: The Years of Rice and Salt. Author(s): Kim Stanley Robinson. Category: Black Death. Published: 2003. 
Spares,Michael Marshall Smith,4.13,Human cloning,1998.0,2481.0,3.926234038204236,Title: Spares. Author(s): Michael Marshall Smith. Category: Human cloning. Published: 1998. 
Gravity,Tess Gerritsen,4.04,Science fiction,2004.0,8024.0,3.937409450613185,Title: Gravity. Author(s): Tess Gerritsen. Category: Science fiction. Published: 2004. 
The Wise Woman,Philippa Gregory,3.31,Great Britain,2002.0,6583.0,3.795908954084939,Title: The Wise Woman. Author(s): Philippa Gregory. Category: Great Britain. Published: 2002. 
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,3.26,American fiction,2000.0,140.0,3.905269583112619,Title: Girls' Night in. Author(s): Jessica Adams;Chris Manby;Fiona Walker. Category: American fiction. Published: 2000. 
The White Album,Joan Didion,4.17,American essays,1993.0,91.0,3.909282580390224,Title: The White Album. Author(s): Joan Didion. Category: American essays. Published: 1993. 
The Bonesetter's Daughter,Amy Tan,3.98,China,2001.0,414.0,3.9094750986662805,Title: The Bonesetter's Daughter. Author(s): Amy Tan. Category: China. Published: 2001. 
The Lexus and the Olive Tree,Thomas L. Friedman,3.59,Capitalism,2000.0,87.0,3.907476121354979,Title: The Lexus and the Olive Tree. Author(s): Thomas L. Friedman. Category: Capitalism. Published: 2000. 
'Tis,Frank McCourt,3.68,Ireland,2000.0,44179.0,3.769435958181534,Title: 'Tis. Author(s): Frank McCourt. Category: Ireland. Published: 2000. 
Ocean Star Express,Mark Haddon;Peter Sutton,3.5,Juvenile Fiction,2002.0,1.0,3.9084335011567175,Title: Ocean Star Express. Author(s): Mark Haddon;Peter Sutton. Category: Juvenile Fiction. Published: 2002. 
A Small Pinch of Weather,Joan Aiken,4.27,"Children's stories, English",2000.0,116.0,3.9099174197873467,"Title: A Small Pinch of Weather. Author(s): Joan Aiken. Category: Children's stories, English. Published: 2000. "
The Princess of the Chalet School,Elinor Mary Brent-Dyer,4.1,Juvenile Fiction,2000.0,446.0,3.9114071373246064,Title: The Princess of the Chalet School. Author(s): Elinor Mary Brent-Dyer. Category: Juvenile Fiction. Published: 2000. 
Koko,Peter Straub,3.56,Male friendship,2001.0,7586.0,3.835041328383117,Title: Koko. Author(s): Peter Straub. Category: Male friendship. Published: 2001. 
Tree and Leaf,John Ronald Reuel Tolkien,4.09,Literary Collections,2001.0,2245.0,3.9217379194962563,Title: Tree and Leaf. Author(s): John Ronald Reuel Tolkien. Category: Literary Collections. Published: 2001. 
Partners in Crime,Agatha Christie,3.77,"Beresford, Tommy (Fictitious character)",2001.0,9506.0,3.8737495771164063,"Title: Partners in Crime. Author(s): Agatha Christie. Category: Beresford, Tommy (Fictitious character). Published: 2001. "
Murder in Mesopotamia,Agatha Christie,3.89,Detective and mystery stories,2001.0,25692.0,3.8996895007757315,Title: Murder in Mesopotamia. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2001. 
"The Lord of the Rings, the Return of the King",Jude Fisher,4.59,Imaginary wars and battles,2003.0,22.0,3.908974991045266,"Title: The Lord of the Rings, the Return of the King. Author(s): Jude Fisher. Category: Imaginary wars and battles. Published: 2003. "
All Families are Psychotic,Douglas Coupland,3.69,Dysfunctional families,2002.0,350.0,3.9057906681267767,Title: All Families are Psychotic. Author(s): Douglas Coupland. Category: Dysfunctional families. Published: 2002. 
Death in the Clouds,Agatha Christie,3.8,Detective and mystery stories,2001.0,21123.0,3.8622135454902677,Title: Death in the Clouds. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2001. 
Appointment with Death,Agatha Christie,3.86,Detective and mystery stories,2001.0,24859.0,3.8858444291225434,Title: Appointment with Death. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2001. 
Hallowe'en Party,Agatha Christie,3.66,"Poirot, Hercule (Fictitious character)",2001.0,18820.0,3.809475550241494,"Title: Hallowe'en Party. Author(s): Agatha Christie. Category: Poirot, Hercule (Fictitious character). Published: 2001. "
Hercule Poirot's Christmas,Agatha Christie,3.93,Christmas stories,2001.0,23113.0,3.9181135510101406,Title: Hercule Poirot's Christmas. Author(s): Agatha Christie. Category: Christmas stories. Published: 2001. 
The Big Four,Agatha Christie,3.59,Detective and mystery stories,2002.0,22155.0,3.768957246774888,Title: The Big Four. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2002. 
The Thirteen Problems,Agatha Christie,3.89,"Detective and mystery stories, English",2002.0,12840.0,3.902707416506614,"Title: The Thirteen Problems. Author(s): Agatha Christie. Category: Detective and mystery stories, English. Published: 2002. "
They Do it with Mirrors,Agatha Christie,3.75,American fiction,2002.0,415.0,3.9061677211731234,Title: They Do it with Mirrors. Author(s): Agatha Christie. Category: American fiction. Published: 2002. 
A Murder is Announced,Agatha Christie,3.98,"Detective and mystery stories, English",2002.0,680.0,3.910119683964038,"Title: A Murder is Announced. Author(s): Agatha Christie. Category: Detective and mystery stories, English. Published: 2002. "
The Mirror Crack'd from Side to Side,Agatha Christie,3.91,"Marple, Jane (Fictitious character)",2002.0,23249.0,3.9091462213924464,"Title: The Mirror Crack'd from Side to Side. Author(s): Agatha Christie. Category: Marple, Jane (Fictitious character). Published: 2002. "
Mrs McGinty's Dead,Agatha Christie,3.83,Belgians,2002.0,525.0,3.9070251623674883,Title: Mrs McGinty's Dead. Author(s): Agatha Christie. Category: Belgians. Published: 2002. 
Taken at the Flood,Agatha Christie,3.71,Fiction,2002.0,8852.0,3.8613213328436182,Title: Taken at the Flood. Author(s): Agatha Christie. Category: Fiction. Published: 2002. 
The Hollow,Agatha Christie,3.79,Detective and mystery stories,2002.0,13022.0,3.8712319632644157,Title: The Hollow. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2002. 
Third Girl,Agatha Christie,3.62,Belgians,2002.0,13705.0,3.814611454749741,Title: Third Girl. Author(s): Agatha Christie. Category: Belgians. Published: 2002. 
The Secret of Chimneys,Agatha Christie,3.86,"Battle, Superintendent (Fictitious character)",2001.0,11110.0,3.8948326531560404,"Title: The Secret of Chimneys. Author(s): Agatha Christie. Category: Battle, Superintendent (Fictitious character). Published: 2001. "
The Lord of the Rings,J. R. R. Tolkien,4.49,"Baggins, Frodo (Fictitious character)",2001.0,187.0,3.912248944799059,"Title: The Lord of the Rings. Author(s): J. R. R. Tolkien. Category: Baggins, Frodo (Fictitious character). Published: 2001. "
The Metaphysical Club,Louis Menand,4.07,Cambridge (Mass.),2002.0,3311.0,3.9253033682779255,Title: The Metaphysical Club. Author(s): Louis Menand. Category: Cambridge (Mass.). Published: 2002. 
The illustrated man,Ray Bradbury,4.14,Fiction,2002.0,56781.0,4.06275635073164,Title: The illustrated man. Author(s): Ray Bradbury. Category: Fiction. Published: 2002. 
Wilkins' Tooth,Diana Wynne Jones,3.59,Business enterprises,2002.0,69.0,3.907676686073444,Title: Wilkins' Tooth. Author(s): Diana Wynne Jones. Category: Business enterprises. Published: 2002. 
Cut,Patricia McCormick,3.76,Emotional problems,2002.0,107.0,3.9078911340282296,Title: Cut. Author(s): Patricia McCormick. Category: Emotional problems. Published: 2002. 
The Lord of the Rings,Gary Russell,4.54,Characters and characteristics in motion pictures,2004.0,28.0,3.9090694029214377,Title: The Lord of the Rings. Author(s): Gary Russell. Category: Characters and characteristics in motion pictures. Published: 2004. 
The Lord of the Rings,John Ronald Reuel Tolkien,4.49,"Fantasy fiction, English",2002.0,680.0,3.922035817474212,"Title: The Lord of the Rings. Author(s): John Ronald Reuel Tolkien. Category: Fantasy fiction, English. Published: 2002. "
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,4.35,"Baggins, Frodo (Fictitious character)",1954.0,56.0,3.9093161095486213,"Title: The Fellowship of the Ring. Author(s): John Ronald Reuel Tolkien;Alan Lee. Category: Baggins, Frodo (Fictitious character). Published: 1954. "
Lirael,Garth Nix,4.3,Fantasy fiction,2004.0,1339.0,3.9260636645659956,Title: Lirael. Author(s): Garth Nix. Category: Fantasy fiction. Published: 2004. 
Tales from the Perilous Realm,John Ronald Reuel Tolkien,4.08,"Fairy tales, English",2002.0,2964.0,3.9246480183219696,"Title: Tales from the Perilous Realm. Author(s): John Ronald Reuel Tolkien. Category: Fairy tales, English. Published: 2002. "
Breaking Open the Head,Daniel Pinchbeck,4.06,Hallucinogenic drugs,2004.0,46.0,3.9086927441491213,Title: Breaking Open the Head. Author(s): Daniel Pinchbeck. Category: Hallucinogenic drugs. Published: 2004. 
The Yiddish Policemen's Union,Michael Chabon,3.7,Fiction,2007.0,51219.0,3.7743924996017073,Title: The Yiddish Policemen's Union. Author(s): Michael Chabon. Category: Fiction. Published: 2007. 
"Beware, Princess Elizabeth",Carolyn Meyer,3.88,Children's stories,2003.0,78.0,3.908370017272099,"Title: Beware, Princess Elizabeth. Author(s): Carolyn Meyer. Category: Children's stories. Published: 2003. "
The Family Way,Tony Parsons,3.51,Parenthood,2005.0,2095.0,3.88109557546526,Title: The Family Way. Author(s): Tony Parsons. Category: Parenthood. Published: 2005. 
Endless Night,Agatha Christie,3.77,FICTION,2002.0,12740.0,3.8655984979442666,Title: Endless Night. Author(s): Agatha Christie. Category: FICTION. Published: 2002. 
How to be Alone,Jonathan Franzen,3.6,Literary Collections,2004.0,327.0,3.9049396603274737,Title: How to be Alone. Author(s): Jonathan Franzen. Category: Literary Collections. Published: 2004. 
The Mysterious Mr. Quin,Agatha Christie,3.72,Detective and mystery stories,2003.0,7514.0,3.8690460971099467,Title: The Mysterious Mr. Quin. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2003. 
The Listerdale Mystery,Agatha Christie,3.55,Detective and mystery stories,2003.0,178.0,3.906217080642171,Title: The Listerdale Mystery. Author(s): Agatha Christie. Category: Detective and mystery stories. Published: 2003. 
The Real Trial of Oscar Wilde,Merlin Holland,4.04,Biography & Autobiography,2004.0,183.0,3.909289432094881,Title: The Real Trial of Oscar Wilde. Author(s): Merlin Holland. Category: Biography & Autobiography. Published: 2004. 
I Can Read with Me Eyes Shut!,Dr. Seuss,4.2,"Authors, American",2003.0,16561.0,4.015782742690333,"Title: I Can Read with Me Eyes Shut!. Author(s): Dr. Seuss. Category: Authors, American. Published: 2003. "
"Oh, the Places You'll Go!",Dr. Seuss,4.35,Adventure stories,2003.0,926.0,3.9223792380859233,"Title: Oh, the Places You'll Go!. Author(s): Dr. Seuss. Category: Adventure stories. Published: 2003. "
If I Die in a Combat Zone,Tim O'Brien,3.95,"Vietnam War, 1961-1975",2003.0,11.0,3.9084639454421053,"Title: If I Die in a Combat Zone. Author(s): Tim O'Brien. Category: Vietnam War, 1961-1975. Published: 2003. "
The Return of the King,J. R. R. Tolkien,4.52,"Baggins, Frodo (Fictitious character)",2003.0,253.0,3.9138433419215453,"Title: The Return of the King. Author(s): J. R. R. Tolkien. Category: Baggins, Frodo (Fictitious character). Published: 2003. "
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,3.91,Fiction,2004.0,49.0,3.9084505419381226,Title: The Silmarillion. Author(s): John Ronald Reuel Tolkien;Ted Nasmith. Category: Fiction. Published: 2004. 
I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,4.16,Children's stories,2004.0,8903.0,3.968447458374743,Title: I Wish that I Had Duck Feet. Author(s): Dr. Seuss;Barney Tobey. Category: Children's stories. Published: 2004. 
Oh Say Can You Say?,Dr. Seuss,4.01,Children's stories,2004.0,5726.0,3.9254756221274456,Title: Oh Say Can You Say?. Author(s): Dr. Seuss. Category: Children's stories. Published: 2004. 
There's a Boy in the Girls' Bathroom,Louis Sachar,3.98,Boys,2004.0,174.0,3.908883227505962,Title: There's a Boy in the Girls' Bathroom. Author(s): Louis Sachar. Category: Boys. Published: 2004. 
