isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,api_description
9780002005883,0002005883,Gilead,,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",2004.0,3.85,247.0,361.0,"**WINNER OF THE 2005 PULITZER PRIZE FOR FICTION**

In 1956, toward the end of Reverend John Ames’s life, he begins a letter to his young son, an account of himself and his forebears. Ames is the son of an Iowan preacher and the grandson of a minister who, as a young man in Maine, saw a vision of Christ bound in chains and came west to Kansas to fight for abolition: He “preached men into the Civil War,” then, at age fifty, became a chaplain in the Union Army, losing his right eye in battle.

Reverend Ames writes to his son about the tension between his father—an ardent pacifist—and his grandfather, whose pistol and bloody shirts, concealed in an army blanket, may be relics from the fight between the abolitionists and those settlers who wanted to vote Kansas into the union as a slave state. And he tells a story of the sacred bonds between fathers and sons, which are tested in his tender and strained relationship with his namesake, John Ames Boughton, his best friend’s wayward son.

Gilead is the long-hoped-for second novel by one of our finest writers, a hymn of praise and lamentation to the God-haunted existence that Reverend Ames loves passionately, and from which he will soon part."
9780002261982,0002261987,Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000.0,3.83,241.0,5164.0,Detective Jim Monahan is determined to bring down a sadistic sex-ring. But everywhere he turns he finds himself entangled in a web of political power and silence. Then comes a bizarre 20-year-old clue that might just blow the whole thing apart ...
9780006163831,0006163831,The One Tree,,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,1982.0,3.97,479.0,172.0,Science fiction roman.
9780006178736,0006178731,Rage of angels,,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993.0,3.93,512.0,29532.0,"Sheldon's most memorable heroine yet— JENNIFER —brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy—and love more destructive than hate-
Sheldon's most intriguing settling for drama-
THE DARK ARENA of organized crime and the flash-bulb lit courtroom where ambitious prosecutors begin their climb to political power.
Sheldon's newest bestseller—"
9780006280897,0006280897,The Four Loves,,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002.0,4.15,170.0,33684.0,The novel based on the The Four Loves radio talks by C. S. Lewis.
9780006280934,0006280935,The Problem of Pain,,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002.0,4.09,176.0,37569.0,"Why must humanity suffer? In this elegant and thoughtful work, C. S. Lewis questions the pain and suffering that occur everyday and how this contrasts with the notion of a God that is both omnipotent and good. An answer to this critical theological problem is found within these pages.

""If God is good and all-powerful, why does he allow his creatures to suffer pain?"" And what about the suffering of animals, who neither deserve pain nor can be improved by it? The greatest Christian thinker of our time sets out to disentangle these knotty issues. With his signature wealth of compassion and insight, C. S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature. - Cover."
9780006353287,0006353282,An Autobiography,,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Donation.,1977.0,4.27,560.0,3975.0,"Alfred R. Hussey was a Unitarian minister (A.B. Harvard, 1892; B.D. Harvard Divinity School, 1895) in West Roxbury, Mass. (1895-1898); Taunton, Mass. (1899-1902); Baltimore, Md. (1902-1916); Lowell, Mass. (1916-1920); Plymouth, Mass., (1921-1939). He served for many years as literary and book editor of The Christian Register."
9780006380832,0006380832,Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",1998.0,4.41,608.0,65.0,
9780006470229,000647022X,The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994.0,4.15,743.0,103.0,
9780006472612,0006472613,Master of the Game,,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982.0,4.11,489.0,43540.0,"From the best-selling author of The Predators' Ball comes the story of the most flamboyant businessman and dealmaker of his generation, Steve Ross. When Steven Spielberg first heard Steve Ross tell his life story, it was such a dramatic rags-to-riches narrative that he thought it was a movie.

In a career that started in Brooklyn and spanned Wall Street, Hollywood, and the Mafia, Steve Ross took his father-in-law's funeral business and a parking lot company and grew them into the largest media and entertainment company in the world, Time Warner.

In the upper strata of American business that Ross reached before his death, he was an anomaly. Outrageous, glamorous, charismatic, he presided over an enterprise that was more medieval fiefdom than corporate bureaucracy. He negotiated his enormous and complicated deals, from movies and records to cable and publishing, with shrewdness and brilliance.

He rewarded his favorite aides and sidekicks extravagantly; he courted Hollywood stars like Barbra Streisand and Steven Spielberg with luxurious gifts; he charmed and outsmarted his rivals. Ross used whateveror whomever - it took to romance someone into making a deal. He saved himself and let his best friend, Jay Emmett, take the fall in the government's Westchester Premier Theatre investigation.

While Atari was hemorrhaging money in the early '80s, Ross announced a stock buy-in to boost the price, and then sold off his own stock for a gross of more than $20 million before announcing the company's failure.

The principles upon which Ross built his domain would not be taught in any business school, and many of his peers were convinced that Ross's ways would lead to his, and his company's undoing. But it was those very attributes - combined with mathematical wizardry and vision (or what one friend called ""the ability to see around corners"") - that enabled Ross to best most adversaries, outnegotiate every dealmaker, confound his critics, and ultimately create the Time Warner empire."
